rank,feature,family,approx,kind,n_cats,n_resolved,coverage,top_bin,n_top,tpr_top,bot_bin,n_bot,tpr_bot,effect,ci_lo,ci_hi,eff_blocks,whipf_top,whipf_bot,baseline,note
41,B-P4.03,B-,,num,4,6869,100.000,Q4,1717,43.448,Q1,1718,36.088,7.359,0.862,14.072,23,24.345,24.854,40.079,
42,E51.08,E,sz-coverage,num,4,2270,33.047,Q4,566,34.452,Q1,598,41.806,-7.354,-27.671,8.794,7,27.739,24.247,40.079,
43,E51.01,E,sz-coverage,num,4,2300,33.484,Q4,575,41.565,Q1,575,34.261,7.304,-70.556,32.702,6,24.522,19.652,40.079,
44,B-P4.05,B-,,num,4,6869,100.000,Q4,1717,43.215,Q1,1718,35.972,7.243,0.857,13.681,23,24.520,25.378,40.079,
45,E25.01,E,,num,4,6869,100.000,Q4,1717,37.391,Q1,1718,44.296,-6.905,-13.534,-0.633,23,22.772,23.166,40.079,
46,E05.01,E,,num,4,6869,100.000,Q4,1693,36.621,Q1,1918,43.483,-6.861,-14.794,-0.010,23,22.209,24.661,40.079,
47,B-P4.04,B-,,num,2,6869,100.000,Q2,1717,45.195,Q1,5152,38.373,6.822,1.453,12.174,23,25.917,23.680,40.079,
48,E08.01,E,,num,4,6834,99.490,Q4,1543,35.515,Q1,1733,42.297,-6.781,-11.779,-2.206,23,23.331,24.870,40.079,
49,B-P2.02,B-,,num,4,6869,100.000,Q4,1717,44.147,Q1,1718,37.485,6.661,-3.737,16.386,23,24.112,23.050,40.079,
50,B-P2.01,B-,,num,4,6869,100.000,Q4,1717,37.507,Q1,1718,44.121,-6.614,-16.319,3.738,23,23.063,24.156,40.079,
51,E42.01,E,,num,4,6869,100.000,Q4,1686,36.655,Q1,2064,43.266,-6.611,-14.448,0.183,23,22.123,24.952,40.079,
52,E45.01,E,,num,4,6869,100.000,Q4,1686,36.655,Q1,2064,43.266,-6.611,-14.448,0.183,23,22.123,24.952,40.079,
53,E21.01,E,,cat,3,6869,100.000,-1,3035,41.285,0,782,34.783,6.502,0.822,12.730,23,24.514,27.749,40.079,
54,E12.06,E,,num,4,6866,99.956,Q4,1717,34.886,Q1,1717,41.351,-6.465,-13.006,1.068,23,24.520,24.927,40.079,
55,E06.01,E,,cat,3,6869,100.000,0,520,44.423,1,3153,38.249,6.174,1.646,10.262,23,21.731,24.675,40.079,
56,E06.10,E,,cat,3,6869,100.000,0,520,44.423,1,3153,38.249,6.174,1.646,10.262,23,21.731,24.675,40.079,
57,C.12,C,,num,4,6869,100.000,Q4,945,36.402,Q1,1758,42.093,-5.691,-14.593,2.050,23,25.926,23.663,40.079,
58,E43.10,E,,num,4,6866,99.956,Q4,1717,42.632,Q1,1717,37.158,5.475,-0.719,11.395,23,24.112,24.403,40.079,
