rank,feature,family,approx,kind,n_cats,n_resolved,coverage,top_bin,n_top,tpr_top,bot_bin,n_bot,tpr_bot,effect,ci_lo,ci_hi,eff_blocks,whipf_top,whipf_bot,baseline,note
175,E43.05,E,,num,4,6855,99.796,Q4,1291,33.772,Q1,2449,35.606,-1.834,-6.060,2.033,23,22.386,24.336,35.682,
176,E54.05,E,,num,4,6855,99.796,Q4,1712,37.675,Q1,1733,35.949,1.726,-9.662,13.836,23,26.986,25.793,35.682,
177,B-P1.08,B-,,num,4,6869,100.000,Q4,1717,35.935,Q1,1718,37.660,-1.725,-7.251,3.772,23,23.646,22.468,35.682,
178,E12.10,E,,num,4,6869,100.000,Q4,1717,37.100,Q1,1718,35.390,1.710,-1.132,4.379,23,24.345,23.807,35.682,
179,E54.02,E,,num,4,6645,96.739,Q4,1650,35.879,Q1,1671,34.171,1.708,-7.547,12.298,23,25.455,25.554,35.682,
180,E55.01,E,,num,4,6645,96.739,Q4,1650,35.879,Q1,1671,34.171,1.708,-7.547,12.298,23,25.455,25.554,35.682,
181,E28.07,E,,num,4,6869,100.000,Q4,1717,33.430,Q1,1718,35.099,-1.669,-3.195,0.267,23,25.859,23.865,35.682,
182,E14.01,E,,cat,2,6869,100.000,1,3385,36.514,-1,3484,34.874,1.640,-1.620,4.844,23,24.136,24.340,35.682,
183,E29.02,E,,num,4,5454,79.400,Q4,1364,35.337,Q1,1364,33.724,1.613,-3.876,7.872,23,24.780,24.927,35.682,
184,K.11,K,,num,4,6646,96.754,Q4,1654,39.299,Q1,1701,37.743,1.556,-15.782,14.678,22,23.821,22.928,35.682,
185,B-P1.10,B-,,num,4,6869,100.000,Q4,1472,33.084,Q1,2729,34.591,-1.507,-8.190,5.334,23,23.030,25.174,35.682,
186,E15.05,E,,num,4,6855,99.796,Q4,1450,35.103,Q1,2293,36.590,-1.486,-4.199,0.879,23,24.759,23.681,35.682,
187,B-P1.04,B-,,cat,2,6869,100.000,bull,3161,36.476,bear,3708,35.005,1.470,-4.120,6.412,23,23.442,24.919,35.682,
188,B-P2.11,B-,,num,2,6869,100.000,Q2,2331,36.637,Q1,4538,35.192,1.445,-1.248,4.324,23,24.668,24.019,35.682,
189,B-P3.10,B-,,num,4,6869,100.000,Q4,1717,35.935,Q1,1718,34.517,1.418,-2.348,5.017,23,25.393,24.156,35.682,
190,E18.01,E,,num,3,6869,100.000,Q3,1717,35.352,Q1,3435,36.710,-1.358,-5.246,2.349,23,23.122,24.716,35.682,
191,E25.02,E,,num,4,6855,99.796,Q4,1714,35.881,Q1,1714,34.539,1.342,-1.202,4.316,23,24.562,22.695,35.682,
192,E23.08,E,,num,4,6869,100.000,Q4,1717,35.469,Q1,1718,36.787,-1.318,-2.989,0.363,23,24.811,24.098,35.682,
193,E10.01,E,,num,4,6834,99.490,Q4,1658,35.042,Q1,1723,36.274,-1.232,-3.729,1.435,23,24.246,24.550,35.682,
194,G10.1,G,,num,4,6834,99.490,Q4,1658,35.042,Q1,1723,36.274,-1.232,-3.729,1.435,23,24.246,24.550,35.682,
